,XGBoost_Gain,RandomForest,Permutation,LinearRegression,Correlation,综合得分
MODIS_2000.2020_monthly_mean_surface_reflectance_band_02_._month_m2,0.026069054994049216,0.04242891713488082,0.07927170323920144,0.11334586719276143,0.36414417058972776,0.12505194263012412
VOD_C_2002_2018_multiyear_mean_m05,0.011922480756142818,0.010247176193061319,0.14196583288843617,0.0632872741971649,0.39628705298784705,0.12474196340453045
VOD_Ku_1987_2017_multiyear_mean_m10,0.015544631167180717,0.0047519910657742625,0.11714965147332035,0.1476541721784438,0.3353700552077621,0.12409410021849623
VOD_X_1997_2018_multiyear_mean_m08,0.023084322693661452,0.0026549823031097887,0.12924194043172835,0.01167844314680174,0.4509898877407335,0.12352991526320696
VOD_Ku_1987_2017_multiyear_mean_m08,0.017698632502725797,0.003071428835137447,0.12479218494498938,0.03605254486907573,0.43382150197038405,0.12308725862446249
VOD_Ku_1987_2017_multiyear_mean_m07,0.018492752590341426,0.00015758097587465094,0.12081967243591626,0.023334291418404804,0.44565542308568235,0.12169194410124388
VOD_X_1997_2018_multiyear_mean_m05,0.03763358611585255,0.007869578784663317,0.12856485065574091,0.03831389747609424,0.3941098791967106,0.12129835844581231
SOIL_nitrogen_100.200cm_mean_0.01_deg,0.037265660509066455,0.12073432980860278,0.0632128271617945,0.012703030657494447,0.37177751706537593,0.12113867304046681
MODIS_2000.2020_monthly_mean_surface_reflectance_band_04_._month_m1,0.012573342334382039,0.0035619038151445902,0.12576198183332898,0.03260809664332714,0.42607433366197844,0.12011593165763224
VOD_X_1997_2018_multiyear_mean_m09,0.03471370594506224,0.007248155047751811,0.1430108135567051,0.0072933342665273525,0.40364990453909105,0.1191831826710275
VOD_C_2002_2018_multiyear_mean_m08,0.013198167233839844,0.014460676635677095,0.11395817566786709,0.01591660094757559,0.4373591384252548,0.11897855178204289
VOD_Ku_1987_2017_multiyear_mean_m05,0.01594574446908837,2.8255408828887796e-05,0.13142960072041052,0.07653741299926387,0.3651682667404672,0.11782185606761178
SOIL_bdod_100.200cm_mean_0.01_deg,0.01767608270604052,0.027863162218485612,0.10680797430490245,0.04423036004213299,0.38820523481499175,0.11695656281731066
SOIL_nitrogen_15.30cm_mean_0.01_deg,0.020257652226561024,0.077451834977367,0.05283162187478879,0.02945970376154802,0.40068620567805835,0.11613740370366463
SOIL_nitrogen_60.100cm_mean_0.01_deg,0.024678772233197345,0.07324495686965798,0.07327961556113745,0.0204143783042996,0.385958635449269,0.11551527168351228
VOD_C_2002_2018_multiyear_mean_m04,0.020101080419141618,0.008443190409271408,0.1308594308380742,0.07532465073262173,0.3421529827609253,0.11537626703200685
VOD_C_2002_2018_multiyear_mean_m09,0.02322481994692201,0.014591767637881923,0.10327655711252244,0.04905387872168454,0.3850536582572152,0.11504013633524521
WORLDCLIM_BIO7_temperature_annual_range,0.005231011381064071,0.10027270832472836,0.033851521140339506,0.0373125485170444,0.39756300589612775,0.11484615905186082
SOIL_nitrogen_5.15cm_mean_0.01_deg,0.020371528422865198,0.06145340661368655,0.07523836335924042,0.006726704830420725,0.4029592877318918,0.11334985819162094
MODIS_2000.2020_monthly_mean_surface_reflectance_band_05_._month_m12,0.03927749454377038,0.03881851507015478,0.09375672320810534,0.02499936898987428,0.369451991387891,0.11326081863995915
SOIL_clay_5.15cm_mean_0.01_deg,0.018445705992909244,0.05276394129262435,0.08645203015630352,0.06260129026222673,0.3457013336003896,0.1131928602608907
VOD_Ku_1987_2017_multiyear_mean_m11,0.04303798748664644,0.0008400510778966194,0.12643381371125587,0.08189112763942417,0.31055741813007104,0.11255207960905884
MODIS_2000.2020_monthly_mean_surface_reflectance_band_02_._month_m1,0.029772215175787726,0.04712789209956573,0.04750710923544926,0.14146212704957334,0.2943207240499892,0.11203801352207306
SOIL_bdod_60.100cm_mean_0.01_deg,0.02106996281585055,0.025336157729323024,0.12046183930010194,0.01851848374687889,0.35985240191478285,0.10904776910138744
MODIS_2000.2020_monthly_mean_surface_reflectance_band_05_._month_m11,0.02381811889014443,0.03669613374152358,0.09946207655003463,0.006287109100506987,0.35552228172936684,0.10435714400231529
VOD_C_2002_2018_multiyear_mean_m01,0.01605539153992725,0.016914900707007446,0.11619216359792885,0.07593373064610531,0.29585655566009017,0.1041905484302118
MODIS_2000.2020_monthly_mean_surface_reflectance_band_05_._month_m8,0.015014281662531093,0.028532553187147928,0.10397656175252615,0.035093966801566935,0.33242440798995126,0.10300835427874469
VOD_C_2002_2018_multiyear_mean_m12,0.019432933986921457,0.015773887656371808,0.10480888291660334,0.02474178528529277,0.34702717304851055,0.10235693257873998
VOD_X_1997_2018_multiyear_mean_m04,0.019947934563392524,0.007750195966543828,0.1361951615803623,0.0016434636120775414,0.3383723707524748,0.10078182529497019
MODIS_2000.2020_monthly_mean_surface_reflectance_band_05_._month_m1,0.013185006261861405,0.03599903664059433,0.07741033434118805,0.06363469141042616,0.3081780473092741,0.09968142319266882
VOD_X_1997_2018_multiyear_mean_m11,0.016569478160010927,0.005652590349810994,0.12102786347775851,0.027428715080538797,0.32529385739085126,0.09919450089179409
VOD_C_2002_2018_multiyear_mean_m10,0.02940742471636686,0.015194573462918977,0.12419863052962825,0.0031240506639251906,0.32038564185228424,0.09846206424502471
VOD_C_2002_2018_multiyear_mean_m03,0.02254751733343907,0.017440236905114335,0.12120904265389554,0.04026589915711516,0.28844510538565665,0.09798156028704416
